Task_ID,Timestamp,Joint_ID,Desired_Position,Actual_Position,Desired_Velocity,Actual_Velocity,Actuator_Torque_Command,Energy_Consumption,Path_Error,Predicted_Position_SRR_DM_Bi_LSTM,Predicted_Velocity_SRR_DM_Bi_LSTM,Inference_Latency,Edge_Node_ID,Task_Completion_Time,Environment_Load,Motion_Type,Robot_Model,Edge_Computing_Enabled,Green_Computing_Mode,Target_Desired_Position
T009,01-07-2024 09:03,2.15506957,29.25471248,28.96857571,0.29938171,0.34699898,0.971829131,5.023632481,0.184638907,28.94216539,0.296868946,22.94286542,Edge-01,14.4176294,Heavy,Pick,KUKA KR10,TRUE,TRUE,29.25471248
T001,01-07-2024 09:08,4.214755967,21.81975389,21.58667161,0.546447394,0.560224262,0.944794254,5.675315116,0.350352442,21.78404478,0.542625387,24.19715001,Edge-02,13.05869749,Light,Inspect,IRB6700,TRUE,TRUE,21.81975389
T001,01-07-2024 09:01,4.454382001,53.83990585,53.99929709,0.765211553,0.829045502,0.976012444,5.175642035,0.293135999,53.77012189,0.777851,24.81081997,Edge-02,10.04109737,Heavy,Inspect,FANUC M-20iA,TRUE,TRUE,53.83990585
T006,01-07-2024 09:03,4.668386474,25.54122938,25.33289716,0.809922392,0.864112082,0.824600331,5.391806976,0.269685246,25.90958505,0.826820449,24.50541956,Edge-03,12.99654195,Heavy,Weld,IRB6700,TRUE,TRUE,25.54122938
T001,01-07-2024 09:00,1,55.69169414,55.05889215,0.251604751,0.265914791,1.32883649,5.387938357,0.167936128,55.47654429,0.261749895,24.99,Edge-02,10.61396646,Heavy,Weld,IRB6700,TRUE,TRUE,55.69169414
T008,01-07-2024 09:00,3.685880576,47.6673793,47.65291989,0.363068997,0.442448304,1.320240843,4.51,0.143456566,48.47661683,0.369558473,23.93179313,Edge-01,10.58932634,Heavy,Weld,IRB6700,TRUE,TRUE,47.6673793
T005,01-07-2024 09:02,1.539228379,49.23336708,48.96296171,0.776444131,0.821710569,1.34315499,5.586063098,0.399606731,49.31580795,0.762631218,22.86935578,Edge-03,10.30825821,Light,Inspect,FANUC M-20iA,TRUE,TRUE,49.23336708
T006,01-07-2024 09:03,3.428742481,43.76867591,43.92270955,1,0.951823576,1.381476523,5.401605454,0.207209221,43.34216839,0.985843872,23.32845495,Edge-03,11.91672349,Heavy,Inspect,KUKA KR10,TRUE,TRUE,43.76867591
T009,01-07-2024 09:01,2.316108356,20.96272328,21.51885993,0.501581871,0.431869014,1.151436122,5.688293393,0.385432657,20.57017742,0.480448563,24.46529298,Edge-01,12.45648566,Heavy,Weld,KUKA KR10,TRUE,TRUE,20.96272328
T002,01-07-2024 09:07,2.646287843,35.60634385,35.61852037,0.550784178,0.6509962,0.8,4.892177772,0.330826345,35.91457701,0.590742665,24.48366811,Edge-01,10.97734277,Heavy,Inspect,FANUC M-20iA,TRUE,TRUE,35.60634385
